Soort overlast,rank_order,year,incident_count,COVID,rel_frequency,prop_since2012,prop_sinceprevious,percentage_change_since2012,percentage_change_sinceprevious
Melding overlast jeugd,3,2013,82124,0,488.8989248473232,90.27320845363747,90.27320845363747,-9.726791546362534,-9.726791546362534
Melding overlast jeugd,3,2014,86454,0,512.7685750138031,94.68064278347765,104.88232821823736,-5.319357216522349,4.882328218237362
Melding overlast jeugd,3,2015,81075,0,478.945206403871,88.43529461446266,93.40377506382453,-11.564705385537337,-6.596224936175474
Melding overlast jeugd,3,2016,86408,0,507.6226052967874,93.73046029513338,105.98761580854705,-6.269539704866617,5.987615808547048
Melding overlast jeugd,3,2017,87875,0,513.2221053273097,94.76438532094386,101.1030832693608,-5.235614679056141,1.1030832693607948
Melding overlast jeugd,3,2018,70802,0,411.1626360276048,75.9195172336658,80.11397633883753,-24.0804827663342,-19.88602366116247
Melding overlast jeugd,3,2019,76546,0,441.5542276947833,81.53120167471018,107.391622925858,-18.468798325289825,7.391622925858002
Melding overlast jeugd,3,2020,137946,1,791.1755397524352,146.0873624252597,179.17969982597958,46.0873624252597,79.17969982597958
Melding overlast jeugd,3,2021,125487,1,716.3122173582628,132.26415283212864,90.53771020049513,32.264152832128644,-9.462289799504873
Melding overlast jeugd,3,2022,88711,0,501.2509213004572,92.55395462418913,69.9765980746573,-7.4460453758108684,-30.023401925342696
Melding overlast jeugd,3,2023,83694,0,468.34137852653606,86.47734069857692,93.43451724965615,-13.522659301423076,-6.565482750343847
Openbare dronkenschap,6,2012,4148,0,24.764218899714947,100,NA,0,NA
Openbare dronkenschap,6,2013,8647,0,51.47714435676299,207.8690410758545,207.8690410758545,107.86904107585451,107.86904107585451
Openbare dronkenschap,6,2014,9235,0,54.77384262443,221.18138612100736,106.40419803557711,121.18138612100736,6.40419803557711
Openbare dronkenschap,6,2015,8146,0,48.12195684694336,194.32051154860883,87.85572554568265,94.32051154860883,-12.144274454317355
Openbare dronkenschap,6,2016,8385,0,49.259507747124836,198.91403781643945,102.36389160939478,98.91403781643945,2.363891609394784
Openbare dronkenschap,6,2017,8312,0,48.545116807745075,196.02926708220892,98.54973999527743,96.02926708220892,-1.4502600047225656
Openbare dronkenschap,6,2018,8136,0,47.24752417616158,190.78947883434125,97.32703778070534,90.78947883434125,-2.6729622192946607
Openbare dronkenschap,6,2019,7920,0,45.68637790795971,184.48543882191896,96.6958135999229,84.48543882191896,-3.3041864000771
Openbare dronkenschap,6,2020,5779,1,33.14487875131807,133.84180977216118,72.5487120429904,33.841809772161184,-27.451287957009598
Openbare dronkenschap,6,2021,5104,1,29.13495069127936,117.64938280211504,87.90181707972232,17.649382802115042,-12.09818292027768
Openbare dronkenschap,6,2022,6735,0,38.05531394030706,153.67056031290815,130.61739607370515,53.67056031290815,30.61739607370515
Openbare dronkenschap,6,2023,6045,0,33.82707999609184,136.59659581058384,88.8892417210181,36.596595810583835,-11.110758278981905
Overlast door verward persoon,2,2012,44571,0,266.0959499949843,100,NA,0,NA
Overlast door verward persoon,2,2013,52168,0,310.5654755179382,116.711838539366,116.711838539366,16.711838539366,16.711838539366
Overlast door verward persoon,2,2014,59600,0,353.49442560000307,132.84472221642838,113.82283398065131,32.84472221642838,13.82283398065131
Overlast door verward persoon,2,2015,66030,0,390.0678628288326,146.58917688757947,110.34625572008714,46.58917688757947,10.346255720087143
Overlast door verward persoon,2,2016,74939,0,440.2454682244231,165.44613634018907,112.86381426854669,65.44613634018907,12.86381426854669
Overlast door verward persoon,2,2017,83611,0,488.3187874653962,183.51229602502428,110.91966248621709,83.51229602502428,10.919662486217092
Overlast door verward persoon,2,2018,90628,0,526.2965365089937,197.7844971029863,107.77724511496267,97.78449710298631,7.777245114962668
Overlast door verward persoon,2,2019,99662,0,574.8984589726111,216.04930814747365,109.23470307937072,116.04930814747365,9.234703079370718
Overlast door verward persoon,2,2020,117246,1,672.4527520465545,252.7106301539838,116.9689606140675,152.7106301539838,16.9689606140675
Overlast door verward persoon,2,2021,130194,1,743.1809894789235,279.29060532222746,110.51794898855175,179.29060532222746,10.517948988551751
Overlast door verward persoon,2,2022,138807,0,784.3123922957983,294.7479630225796,105.5345068562254,194.7479630225796,5.534506856225406
Overlast door verward persoon,2,2023,141724,0,793.0701547338494,298.03916773208994,101.11661660890196,198.03916773208994,1.116616608901964
Overlast ivm alcohol/ drugs,4,2012,19836,0,118.42407090037264,100,NA,0,NA
Overlast ivm alcohol/ drugs,4,2013,24771,0,147.46621289017878,124.52385040389179,124.52385040389179,24.523850403891785,24.523850403891785
Overlast ivm alcohol/ drugs,4,2014,25163,0,149.24463475457847,126.02559059140472,101.20598598793889,26.025590591404722,1.2059859879388881
Overlast ivm alcohol/ drugs,4,2015,25689,0,151.7560703954245,128.1463044139846,101.68276443905397,28.14630441398461,1.6827644390539689
